pos_code;foto_lokasi_bagian_depan;foto_lokasi_bagian_dalam;foto_tambahan_lokasi_pos;status_upload;timestamp
POS12000;https://drive.google.com/open?id=1a1Si4DBnYiQ_qAI5_3SD4MkEq_nxx5S5;https://drive.google.com/open?id=1iFwstTrvGYYZsy7zkZ2PEvNT6K9BeR8_;https://drive.google.com/open?id=1qLU-vYHrl77tgIpf0Y8In8gDf9UXIxaT;APPROVE;2022-07-25
POS11957;https://drive.google.com/open?id=1OkQkmFX03ElVAxFb1RZLAYwbzoUuW_J3;https://drive.google.com/open?id=1ZiOKT_GvFvDoWuWSaAZu_udW43BEFFhe;https://drive.google.com/open?id=1YI5L103VcvbsGMs59x9zd23TxwRE59IZ;APPROVE;2022-07-25
POS11947;https://drive.google.com/open?id=1u5Hnf89ziL5KCxvvmrWFCMXwLiT1e0PD;https://drive.google.com/open?id=1g438c-5BOFvwh3JLiJ48TjiwJSMOKJog;https://drive.google.com/open?id=1rFrpojRbISVDWOYrRUrY6l68oz2LKvJI;APPROVE;2022-07-25
POS12020;https://drive.google.com/open?id=1sBz1gtbtOZ90NP3H2-cz___d5y1aPc2S;https://drive.google.com/open?id=15I-1Wceo3NaXfVlUIWI12WjCLj0KgkBH;https://drive.google.com/open?id=1f2wt5BeuPiFal6iObPo_8PDIS4hWOYHF;APPROVE;2022-07-25
POS11903;https://drive.google.com/open?id=1HygdYKRsCkAQJMT3ZOnNVqAZDKJt8Wb-;https://drive.google.com/open?id=1T0JbmJvsyqNb7_mzKhqRYVFMYbDewmA6;https://drive.google.com/open?id=13BrA0l56jcQrSl6IDLKblAc6ZMapIaop;APPROVE;2022-07-25
POS11895;https://drive.google.com/open?id=18LB589rneiStEVTYORiG5ZvLaiL6aJsN;https://drive.google.com/open?id=19tcAIZ7xfbYV9C9RZHDPaZXLBpIPk-vo;https://drive.google.com/open?id=16wQE6fJMZANIPcsF_rDptWrkpZdvr80x;APPROVE;2022-07-25
POS11832;https://drive.google.com/open?id=1gpWQCD8z_L96Fucwq9ESIyg528R1z9Y0;https://drive.google.com/open?id=1CyhCs-iar0gQL7O35OR5da-DII4GBx1C;https://drive.google.com/open?id=1gx9zOneDSAFnQxpn311NJtfPLD3YkNTC;APPROVE;2022-07-26
POS11862;https://drive.google.com/open?id=1vfvJY5S2hSlk5HGMRsI6MXpvXmD9gDbW;https://drive.google.com/open?id=1s5eAgMX7R21l4A0fNi2VY7UQrmdylCjB;https://drive.google.com/open?id=1Dq9Zb87uO4AVU2IbXwMa5rGTSAf-RppT;APPROVE;2022-07-26
POS11878;https://drive.google.com/open?id=1O2vO_Kad1CLl3NfG0oEB4QcA7hqCm6K8;https://drive.google.com/open?id=1E_rhQZrt4XdoktNTjKMfT67g7siZEmCf;https://drive.google.com/open?id=1AKXEGzFG3zhlMlUov8-LFxsq8SA4dxLa;APPROVE;2022-07-26
POS11881;https://drive.google.com/open?id=1BK4nCVjcLrMzAVYfRvuoW-QSv7YUGVj9;https://drive.google.com/open?id=1VQ4RsULJnEjDmoUUVGuf29GJyq7fS4Ew;https://drive.google.com/open?id=1TqLi42kA-4CqELLXJ2gXEMvr9_oit0_H;APPROVE;2022-07-26
POS12029;https://drive.google.com/open?id=10fTsx9N6RcXfSoGXzjmkOg0PoIERslo1;https://drive.google.com/open?id=1KNtEfvAvbbUHfwdD0Syo1rKSAHGETV7L;https://drive.google.com/open?id=1geBrDHPxv17FOoTmtmy9Grfj3eHgR6uq;APPROVE;2022-07-26
POS11964;https://drive.google.com/open?id=1WZygXj7IM6a_Hp9bojtWPgFRIi5F-E;https://drive.google.com/open?id=1Unf012hGZXbqqiMVxR1bfcosPZyFCb6Z;https://drive.google.com/open?id=1V7bD_qOWyjalHoeSxDV7RFY9pejnd41i;APPROVE;2022-07-26
POS11516;https://drive.google.com/open?id=1fNNta0GbOnkdetGs6WHT1gHk8q8RVJ0y;https://drive.google.com/open?id=1YCkwMEfPgu1HtrkYf3159Y65COgLCR8a;https://drive.google.com/open?id=1ublnWuLKgFxLVLZL-XJxg8pGkjXLxlM-;APPROVE;2022-07-26
POS11893;https://drive.google.com/open?id=1RJ6IYuawmnvE5xBeRlTqEwrNZuYZ_1ih;https://drive.google.com/open?id=1C_1mmOHHK-3hdCl_9DJAyed6EbKYfJIf;https://drive.google.com/open?id=1QVaO6TT8h8G9QlI_621U5NR5fZphyqTK;APPROVE;2022-07-26
POS11678;https://drive.google.com/open?id=1ocenKboz9JrWaJ7VPBuTol1nQ0l3dnXZ;https://drive.google.com/open?id=1V_UvcMguf1WN34ldU3h_OiEgkB3z5wIg;https://drive.google.com/open?id=1gw3Z3CcJgSuCjebebXYrXDMQEaemH3rZ;APPROVE;2022-07-26
POS11902;https://drive.google.com/open?id=1-QPtN_cl0t-ebv5Wd-BAnKerIxa_dMJz;https://drive.google.com/open?id=1kkWL7TlhKxjDky_x00uVF1da1cCoPG7w;https://drive.google.com/open?id=1uQxfv4FiAufdxH-vMzcyl_88qVSN40Lt;APPROVE;2022-07-26
POS11936;https://drive.google.com/open?id=1PN2B5Xwn416NcHDDQlx09oqO4aUp4y;https://drive.google.com/open?id=1aHSuQl28_V-TeiolUYq67mr4mqcRBV82;https://drive.google.com/open?id=1L-9UuD3_27zGgh2MdjVOUf4ZGZmEDkCR;APPROVE;2022-07-27
POS11955;https://drive.google.com/open?id=1gCKhYIi9OOAqpEssk-xvi8HlVyxYpQXW;https://drive.google.com/open?id=1QQllbzIhkhpLCacOgoPNS7x6KGqnxu1k;https://drive.google.com/open?id=1b-kXgRPfshnnSzmc5NH-e4Np1XqywVtO;APPROVE;2022-07-27
POS11904;https://drive.google.com/open?id=1ebDHwc54YtFuvl9_KC4lMUPBMfoIk8c4;https://drive.google.com/open?id=1QwZDWiBIcQ0DrV-7kCkqPSFiAwGRlcq2;https://drive.google.com/open?id=101iqEOxfv1WbKmcsRhNDwfhAcXKJNaks;APPROVE;2022-07-27
POS11344;https://drive.google.com/open?id=1PQJqWGDEFxdA-mPx4kJ-Pz1kNUsSyEKI;https://drive.google.com/open?id=1c5Rr4PzmeBgLIPRDIJF7cI6ZkhTlQJvR;https://drive.google.com/open?id=1H3WEHRy0k_LNRHdysb9Taz4cMphtIX21;APPROVE;2022-07-27
POS11523;https://drive.google.com/open?id=1NLKo5Z1gJyW9fA1gnQZE9_WNA2ueGUVB;https://drive.google.com/open?id=1r87CUa_pX6D0hn4NKp_Wc5FDtJAhpMU6;https://drive.google.com/open?id=11Yp-EMFXdbIpZ3kg0foeDtu7iJLibbXf;APPROVE;2022-07-27
POS11757;https://drive.google.com/open?id=1pVQAJjdBmGqgoZOIoRClTsAXglbcTjzi;https://drive.google.com/open?id=1iLh32PKVq52HTaqwdMxNiYPldL_njnrj;https://drive.google.com/open?id=1E0e9GQLsejs85oASkXd93xbuYdyz-EeT;APPROVE;2022-07-27
POS11830;https://drive.google.com/open?id=1G3lA6X8ATLsn_J0f6tHsMyMa2Arfu4zj;https://drive.google.com/open?id=1jm15TXLpBkvEE9ZOuoza1iCjPrNhT0LP;https://drive.google.com/open?id=1h_1nTsf9pMjmXgwDf5iha1SjCikCfjp6;APPROVE;2022-07-28
POS11872;https://drive.google.com/open?id=1-UEcpJqgipdOShWfz1EYGMYnIe5zwkT3;https://drive.google.com/open?id=1nV4Apet2DGPeY5H3SGP9bxvOrKa2vwzn;https://drive.google.com/open?id=1e7GAC5HftiVl5ppKhNmOO4DYm-A9KRze;APPROVE;2022-07-28
POS11981;https://drive.google.com/open?id=1X3kGC31CRvUXgYjDH1RH0jnTtlKt8fEV;https://drive.google.com/open?id=1xKDRvnseyVK-A4Wx8GfOrkHKEThXSEHy;https://drive.google.com/open?id=1xmgevWRsQRCSQAtH-PLnSLHpvPYgW1oR;APPROVE;2022-07-28
